,MS,JPM,C,WFC,BAC,PG,WMT,MO,KR,KHC,KMI,HAL,XOM,OXY,MRO,3-Year Note Auction,30-Year Bond Auction,5-Year Note Auction,7-Year Note Auction,All Car Sales,All Truck Sales,Building Permits (MoM),CB Employment Trends Index,Challenger Job Cuts,Chicago Fed National Activity,Cleveland CPI (MoM),Continuing Jobless Claims,Core CPI (YoY),Core CPI Index,Core PCE Price Index (YoY),CPI (YoY),"CPI Index, n.s.a.",Dallas Fed Mfg Business Index,Dallas Fed PCE,Dallas Fed Services Revenues,Durables Excluding Defense (MoM),EIA Weekly Distillates Stocks,Existing Home Sales (MoM),Export Price Index (MoM),Factory orders ex transportation (MoM),"US Foreign Buying, T-bonds",Gasoline Inventories,Goods Orders Non Defense Ex Air (MoM),Government Payrolls,House Price Index (YoY),Housing Starts (MoM),ISM Manufacturing Employment,ISM Manufacturing New Orders Index,ISM Non-Manufacturing Business Activity,ISM Non-Manufacturing Employment,ISM Non-Manufacturing New Orders,ISM Non-Manufacturing Prices,Jobless Claims 4-Week Avg.,JOLTs Job Openings,KC Fed Composite Index,KC Fed Manufacturing Index,Manufacturing Production (MoM),Manufacturing Payrolls,MBA 30-Year Mortgage Rate,MBA Purchase Index,Michigan 5-Year Inflation Expectations,Michigan Consumer Expectations,Michigan Current Conditions,House Price Index,Mortgage Market Index,Mortgage Refinance Index,New Home Sales (MoM),ISM-New York Index,NFIB Small Business Optimism,Overall Net Capital Flow,Pending Home Sales Index,Philly Fed Business Conditions,Philly Fed CAPEX Index,Philly Fed Employment,Philly Fed New Orders,Philly Fed Prices Paid,Private Nonfarm Payrolls,Real Earnings (MoM),Real Personal Consumption (MoM),Redbook (MoM),Redbook (YoY),Retail Control (MoM),Retail Sales Ex Gas/Autos (MoM),Richmond Manufacturing Shipments,Richmond Services Index,S&P/CS HPI Composite - 20 s.a. (MoM),S&P/CS HPI Composite - 20 n.s.a. (MoM),Texas Services Sector Outlook,TIC Net Long-Term Transactions including Swaps,CFTC Crude Oil speculative net positions,CFTC Gold speculative net positions,CFTC Silver speculative net positions,Construction Spending (MoM),ISM Manufacturing PMI,ISM Manufacturing Prices,Factory Orders (MoM),Pending Home Sales (MoM),Total Vehicle Sales,MBA Mortgage Applications (WoW),Challenger Job Cuts (YoY),ADP Nonfarm Employment Change,ISM Non-Manufacturing PMI,Crude Oil Inventories,Initial Jobless Claims,Natural Gas Storage,Average Hourly Earnings (MoM),Average Weekly Hours,Nonfarm Payrolls,U6 Unemployment Rate,Unemployment Rate,Wholesale Inventories (MoM),U.S. Baker Hughes Oil Rig Count,Consumer Credit,Trade Balance,IBD/TIPP Economic Optimism,Federal Budget Balance,Core Retail Sales (MoM),Import Price Index (MoM),Retail Sales (MoM),Business Inventories (MoM),Core CPI (MoM),CPI (MoM),NY Empire State Manufacturing Index,Capacity Utilization Rate,Industrial Production (MoM),Michigan Consumer Sentiment,Michigan Inflation Expectations,TIC Net Long-Term Transactions,NAHB Housing Market Index,Building Permits,Core PPI (MoM),Housing Starts,PPI (MoM),Philadelphia Fed Manufacturing Index,Existing Home Sales,S&P/CS HPI Composite - 20 n.s.a. (YoY),CB Consumer Confidence,House Price Index (MoM),Richmond Manufacturing Index,New Home Sales,Fed Interest Rate Decision,Core Durable Goods Orders (MoM),Durable Goods Orders (MoM),Employment Cost Index (QoQ),GDP (QoQ),GDP Price Index (QoQ),Chicago PMI,10-Year Note Auction,Core PCE Price Index (MoM),Personal Income (MoM),Personal Spending (MoM),Nonfarm Productivity (QoQ),Unit Labor Costs (QoQ),Current Account,3-Month Bill Auction,PPI (YoY)
2011Q3,98100000000.0,271060000000.0,268620000000.0,212640000000.0,338160000000.0,215300000000.0,1093660000000.0,61080000000.0,209130000000.0,44740000000.0,21220000000.0,65480000000.0,1253300000000.0,60060000000.0,36490000000.0,0.46,3.96,1.1666666666666667,1.71,5823333.333333332,6746666.666666668,-1.6666666666666667,106.0,77750.0,-0.31666666666666665,0.2333333333333333,3708.1538461538453,1.933333333333333,225.71666666666667,1.6666666666666667,3.766666666666667,226.45,-9.4,2.033333333333333,9.233333333333334,1.2,1146666.666666667,0.8333333333333334,0.16666666666666666,0.3666666666666667,58900000000.0,138461.53846153847,0.6666666666666666,-48666.66666666666,-3.333333333333333,2.5,54.86666666666667,52.33333333333334,56.2,51.43333333333334,54.5,60.83333333333334,413246.66666666674,3373333.333333333,4.666666666666667,3.0,0.5,15666.666666666664,4.363333333333333,189.12,2.9,49.5,73.13333333333333,181.2333333333333,680.2233333333334,3552.316666666667,0.3333333333333333,528.6666666666667,89.59999999999998,33300000000.0,89.59999999999998,21.3,11.266666666666666,7.099999999999999,-6.066666666666666,29.566666666666666,76000.0,-0.06666666666666668,0.16666666666666666,0.10666666666666667,4.306666666666667,0.2333333333333333,0.16666666666666666,1.6666666666666667,4.333333333333333,-0.3,0.1333333333333334,-10.733333333333334,32166666666.666668,147792.85714285713,187371.42857142852,22164.285714285717,-0.5666666666666667,52.26666666666666,60.83333333333334,0.7999999999999999,-0.03333333333333336,11933333.333333336,2.492307692307693,37.23333333333333,120666.66666666669,53.1,-1415384.6153846157,409538.46153846156,67692307692.307686,0.10000000000000002,34.266666666666666,45000.0,16.133333333333333,9.133333333333333,1.0666666666666669,1043.357142857143,10866666666.666666,-49366666666.666664,39.03333333333333,-102233333333.33333,0.2,-0.20000000000000004,0.2,0.5666666666666668,0.2333333333333333,0.2333333333333333,-6.766666666666668,77.2,0.43333333333333335,60.971428571428575,3.5,12266666666.666666,14.666666666666664,613666.6666666665,0.26666666666666666,600000.0,-0.06666666666666668,-15.0,4823333.333333333,-4.366666666666666,49.8,0.7000000000000001,-5.666666666666668,301666.66666666674,0.25,0.2333333333333333,0.6,0.7,1.2,2.4,58.56666666666666,2.4633333333333334,0.13333333333333333,0.10000000000000002,0.26666666666666666,-0.5,2.75,-118000000000.0,0.03333333333333333,4.433333333333334
2012Q1,69240000000.0,290870000000.0,249960000000.0,230030000000.0,268930000000.0,201940000000.0,1227280000000.0,56470000000.0,213010000000.0,44530000000.0,18570000000.0,68680000000.0,1240530000000.0,62680000000.0,37930000000.0,0.25,3.3115,0.9463333333333334,1.4066666666666665,7256666.666666668,6933333.333333332,3.4333333333333336,110.95,47700.0,0.10000000000000002,0.20000000000000004,3448.615384615385,2.2666666666666666,228.11,2.0666666666666664,2.833333333333333,227.9033333333333,12.4,1.8666666666666665,18.4,-2.4666666666666663,-603333.3333333335,1.3,0.5333333333333333,0.4000000000000001,50450000000.0,435615.3846153846,-1.3666666666666665,-1666.666666666667,0.5666666666666665,0.10000000000000002,54.4,55.66666666666666,59.43333333333333,54.6,58.26666666666667,64.36666666666667,372100.0,3670000.0,9.666666666666666,15.666666666666664,0.43333333333333335,33333.333333333336,4.1033333333333335,182.0833333333333,2.8666666666666667,68.13333333333334,84.39999999999998,182.9333333333333,745.2666666666668,4062.74,1.4000000000000004,540.15,94.0,49400000000.0,97.66666666666669,33.56666666666667,16.900000000000002,3.6666666666666665,6.7333333333333325,25.03333333333333,234000.0,-0.03333333333333333,0.3,-0.375,3.106666666666667,0.7333333333333333,0.8333333333333334,5.666666666666668,13.666666666666664,0.06666666666666668,-0.6,20.4,35866666666.666664,201869.23076923078,155846.15384615384,20015.384615384617,0.8666666666666667,53.46666666666667,54.83333333333334,0.6333333333333334,-0.6666666666666666,14300000.0,0.2769230769230769,23.83333333333333,237000.0,55.56666666666666,2000000.0,361153.84615384607,-85461538461.53847,0.16666666666666666,34.46666666666667,223333.33333333328,14.933333333333332,8.366666666666667,0.5,1262.4615384615386,19166666666.666668,-49733333333.333336,48.13333333333333,-115033333333.33333,0.4666666666666666,0.2,0.5333333333333333,0.4666666666666666,0.13333333333333333,0.20000000000000004,17.733333333333334,78.43333333333334,0.13333333333333333,74.55,3.483333333333333,59566666666.66665,27.33333333333333,690666.6666666665,0.3,684666.6666666665,0.13333333333333333,10.0,4590000.0,-3.8333333333333335,67.36666666666667,0.5666666666666667,13.0,313666.66666666674,0.25,0.16666666666666666,0.4000000000000001,0.4,2.9333333333333336,0.7333333333333334,62.13333333333333,2.048,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.8,2.0,-124100000000.0,0.08166666666666668,2.733333333333333
2012Q2,69420000000.0,251330000000.0,237300000000.0,226060000000.0,264120000000.0,185380000000.0,1130100000000.0,64870000000.0,290650000000.0,47860000000.0,21670000000.0,72340000000.0,1273630000000.0,57680000000.0,37320000000.0,0.392,3.0133333333333336,0.7956666666666666,1.2083333333333333,7100000.0,7106666.666666668,-0.9333333333333332,107.87333333333332,46666.66666666666,-0.21,0.16666666666666666,3279.9230769230767,2.3,229.3333333333333,1.933333333333333,2.0,229.79333333333332,-0.9,1.7,11.9,0.4,-1410000.0,-0.3666666666666665,-0.6,-1.5666666666666669,24373333333.333332,-1426769.230769231,-0.5666666666666665,-17666.666666666668,3.3000000000000003,3.066666666666667,56.53333333333334,55.9,55.53333333333334,53.33333333333334,55.73333333333333,53.1,376300.0,3706666.666666666,5.0,8.0,0.3333333333333333,14000.0,3.956666666666667,190.0,2.7999999999999994,71.03333333333333,83.86666666666667,186.26666666666665,790.5766666666667,4329.926666666666,0.6,555.4999999999999,93.8,12433333333.333334,98.1,28.66666666666667,14.233333333333334,6.8,-4.5,10.733333333333333,111000.0,0.2,0.06666666666666668,0.007692307692307699,2.76,-0.1,-0.3,4.0,1.3333333333333333,0.7999999999999999,2.033333333333333,6.1999999999999975,30933333333.333324,177823.07692307697,129184.61538461539,12923.076923076924,-0.2333333333333333,53.9,56.5,-0.26666666666666666,1.5,14190000.0,2.338461538461538,23.03333333333333,153666.66666666663,54.4,2598153.846153846,377076.9230769231,49000000000.0,0.10000000000000002,34.46666666666667,101333.33333333331,14.733333333333334,8.166666666666666,0.6,1373.4615384615386,12196666666.666666,-49300000000.0,48.16666666666666,-87900000000.0,0.16666666666666666,-0.06666666666666665,0.2333333333333333,0.4333333333333333,0.20000000000000004,0.0,8.666666666666668,78.93333333333334,0.3333333333333333,76.08333333333334,3.1333333333333333,23966666666.666668,27.66666666666667,747333.3333333335,0.2333333333333333,693000.0,-0.4,-4.633333333333334,4550000.0,-2.6666666666666665,65.36666666666667,0.9666666666666668,5.0,346666.66666666674,0.25,-0.4333333333333334,-0.9666666666666668,0.4,2.0,1.7333333333333334,53.93333333333334,1.84,0.13333333333333333,0.26666666666666666,0.2,-0.7,1.65,-137300000000.00005,0.08615384615384615,1.2999999999999998
2012Q3,52800000000.0,277990000000.0,187290000000.0,224760000000.0,244660000000.0,207390000000.0,1142820000000.0,62420000000.0,217260000000.0,45880000000.0,28700000000.0,71110000000.0,1151410000000.0,59650000000.0,40360000000.0,0.35766666666666663,2.767,0.6463333333333333,1.03,7146666.666666668,7233333.333333332,5.8,108.05666666666666,34306.666666666664,-0.3833333333333333,0.20000000000000004,3300.0769230769233,2.066666666666667,230.25333333333333,1.7000000000000002,1.6,230.29666666666665,-5.233333333333333,1.4666666666666668,8.666666666666666,0.7999999999999998,440000.0,1.7666666666666664,0.7000000000000001,0.8333333333333334,42800000000.0,-691846.1538461539,-0.7666666666666666,10333.333333333334,3.9,4.0,52.9,50.2,56.36666666666667,52.0,54.93333333333334,60.9,375916.66666666674,3613333.333333334,5.0,0.3333333333333333,0.03333333333333335,2333.333333333333,3.736666666666667,185.21,2.833333333333333,67.56666666666668,85.7,188.26666666666665,879.4966666666666,4966.45,2.2666666666666666,559.1666666666666,91.83333333333331,64033333333.333336,100.83333333333331,26.66666666666667,5.1000000000000005,-5.766666666666668,-7.401486830834377e-17,13.333333333333336,119666.66666666669,-0.2,0.26666666666666666,0.11538461538461535,1.9633333333333336,0.3666666666666667,0.5,-0.3333333333333333,1.3333333333333333,0.5666666666666668,0.9333333333333332,4.6000000000000005,41100000000.0,205500.0,146000.0,19769.23076923077,0.13333333333333333,49.7,43.5,1.0,-0.5333333333333333,14230000.0,0.1846153846153844,-30.266666666666666,180000.0,52.8,-1691230.769230769,368384.6153846154,39461538461.53846,0.13333333333333333,34.46666666666667,113000.0,14.733333333333334,8.200000000000001,0.26666666666666666,1417.1538461538462,6766666666.666667,-44533333333.333336,48.13333333333333,-106866666666.66667,0.4000000000000001,-0.8666666666666668,0.4000000000000001,0.4000000000000001,0.13333333333333333,0.2,-2.966666666666667,78.8,-0.06666666666666665,74.95,3.3000000000000003,43766666666.666664,37.333333333333336,790000.0,0.26666666666666666,752000.0,0.7000000000000001,-7.3,4553333.333333333,0.3333333333333333,65.60000000000001,0.5666666666666667,-7.333333333333332,365000.0,0.25,-1.0333333333333334,-2.4666666666666663,0.5,1.5,1.6000000000000003,52.13333333333333,1.6343333333333334,0.10000000000000002,0.3,0.3,1.9,1.6,-117400000000.0,0.10192307692307694,1.0666666666666669
2012Q4,70320000000.0,260550000000.0,223470000000.0,231620000000.0,223070000000.0,221750000000.0,1138000000000.0,62420000000.0,218070000000.0,44440000000.0,30790000000.0,72900000000.0,1141240000000.0,20990000000.0,4050000000.0,0.32875,2.94275,0.7280000000000001,1.23125,7050000.0,7293333.333333332,0.26666666666666666,108.305,48863.33333333334,-0.15333333333333335,0.16666666666666666,3249.384615384615,2.025,229.88666666666668,1.7666666666666666,2.25,229.07,1.3,1.5333333333333332,12.300000000000002,1.4666666666666668,-393333.33333333326,1.4333333333333331,-0.3333333333333333,0.7333333333333334,7075000000.0,2098153.846153846,2.4333333333333336,-23000.0,3.2000000000000006,-1.1333333333333333,52.06666666666666,51.66666666666666,57.63333333333333,52.0,55.56666666666666,60.73333333333333,380870.0,3666666.666666666,-3.25,-3.6666666666666665,0.5333333333333333,8000.0,3.7466666666666666,190.79333333333332,2.733333333333333,73.8,86.09999999999998,188.1,798.1933333333333,4388.95,2.1666666666666665,554.1999999999998,91.13333333333333,35325000000.0,100.53333333333336,23.600000000000005,6.466666666666666,-1.9,-2.7000000000000006,21.96666666666667,145000.0,0.10000000000000002,0.06666666666666668,-0.5792857142857143,2.543333333333333,-0.06666666666666665,0.06666666666666665,0.6666666666666666,4.333333333333333,0.3666666666666667,-0.4666666666666667,6.7333333333333325,2000000000.0,187015.38461538465,177692.3076923077,37300.0,0.4666666666666666,50.9,55.16666666666666,0.13333333333333322,2.4,14920000.0,-0.22499999999999995,-8.266666666666666,146000.0,54.66666666666666,452230.7692307693,372846.15384615393,5846153846.153846,0.16666666666666666,34.43333333333334,143666.66666666663,14.666666666666664,7.8,0.7333333333333334,1383.3076923076926,14560000000.0,-42666666666.666664,49.23333333333333,-72366666666.66667,0.3666666666666667,0.2333333333333333,0.3666666666666667,0.5666666666666665,0.13333333333333333,0.13333333333333333,-6.5,78.16666666666667,0.3666666666666667,80.11666666666667,3.1333333333333333,31533333333.333324,44.66666666666666,886333.3333333335,-0.03333333333333333,875666.6666666665,0.03333333333333336,1.0333333333333334,4860000.0,3.1,70.33333333333333,0.4666666666666666,2.333333333333333,378000.0,0.25,1.7,3.533333333333333,0.4,2.6,2.733333333333333,50.63333333333333,1.75675,0.06666666666666668,0.3333333333333333,0.3333333333333333,2.4,-1.0,-107500000000.0,0.09384615384615384,2.3
2013Q1,81500000000.0,275540000000.0,245780000000.0,224100000000.0,266340000000.0,205980000000.0,1275590000000.0,55280000000.0,240210000000.0,45130000000.0,30600000000.0,69740000000.0,1083570000000.0,58720000000.0,37840000000.0,0.4023333333333334,3.1660000000000004,0.8086666666666668,1.308,7586666.666666668,7760000.0,0.8333333333333331,109.84666666666664,48350.0,0.04666666666666667,0.16666666666666666,3131.0,1.933333333333333,232.54333333333332,1.4666666666666668,1.7666666666666666,231.74,5.033333333333334,1.6666666666666667,13.366666666666667,-0.20000000000000012,-1046666.6666666664,1.0666666666666669,0.20000000000000004,-0.03333333333333336,29533333333.333324,-143692.3076923077,1.2666666666666666,-7333.333333333332,7.0,1.0666666666666664,53.23333333333333,53.76666666666667,57.03333333333334,54.93333333333334,56.66666666666666,57.83333333333334,353460.0,3893333.333333334,-5.666666666666668,-1.3333333333333333,0.16666666666666666,15000.0,3.73,202.9933333333333,2.9,64.36666666666667,88.23333333333332,195.66666666666663,810.3766666666667,4386.86,4.133333333333334,568.0666666666667,89.23333333333332,54633333333.333336,105.53333333333336,29.73333333333333,9.366666666666667,-2.9,-1.1333333333333335,11.866666666666667,193333.33333333328,-0.033333333333333326,0.26666666666666666,0.4,2.4133333333333336,0.26666666666666666,0.26666666666666666,0.0,8.0,1.2,0.5,8.466666666666667,-25266666666.666668,239976.92307692303,129992.30769230767,25476.92307692308,-0.5,52.66666666666666,57.83333333333334,-0.06666666666666665,-0.06666666666666661,15366666.666666664,1.353846153846154,-13.166666666666664,201666.66666666663,55.76666666666667,1142923.076923077,350307.6923076923,-143923076923.07693,0.2333333333333333,34.46666666666667,182666.66666666663,14.2,7.8,0.5666666666666667,1330.2307692307693,15596666666.666666,-43900000000.0,45.33333333333334,-67100000000.0,0.5,0.5333333333333333,0.5666666666666668,0.4666666666666666,0.20000000000000004,0.2333333333333333,3.8333333333333335,79.16666666666666,0.3,74.89999999999998,3.3000000000000003,47400000000.0,45.66666666666666,924666.6666666664,0.16666666666666666,920333.3333333336,0.2333333333333333,-5.433333333333334,4946666.666666667,6.8,62.63333333333333,0.6,-1.0,405666.66666666674,0.25,0.9,1.7,0.5,0.13333333333333333,0.8333333333333334,54.93333333333334,1.9793333333333327,0.06666666666666668,0.03333333333333336,0.3666666666666667,-1.95,4.55,-110400000000.0,0.08653846153846154,1.4666666666666668
2013Q2,85150000000.0,275790000000.0,246460000000.0,224550000000.0,260030000000.0,202970000000.0,1140700000000.0,63050000000.0,299970000000.0,47160000000.0,33820000000.0,73170000000.0,1066660000000.0,59620000000.0,30100000000.0,0.4256666666666665,3.111,1.0796666666666666,1.5276666666666667,7480000.0,7993333.333333332,5.6000000000000005,111.54666666666668,37260.0,-0.3533333333333333,0.2,2998.615384615385,1.7666666666666666,233.17,1.3,1.3333333333333333,232.99,-6.533333333333334,1.2,8.033333333333333,2.8666666666666667,861166.6666666665,2.2,-0.4000000000000001,0.16666666666666666,-16440000000.0,318846.15384615393,1.0,-19333.33333333333,7.3000000000000025,-5.25,50.23333333333333,52.53333333333333,55.56666666666666,53.1,55.16666666666666,53.7,347803.33333333326,3843333.333333334,-2.6666666666666665,-4.0,0.13333333333333333,-333.3333333333333,3.9333333333333336,212.9,2.9,71.89999999999998,93.9,200.06666666666663,758.7666666666668,3966.62,1.25,576.7666666666665,92.0,22800000000.0,108.43333333333334,30.95000000000001,13.633333333333335,-5.050000000000002,3.266666666666667,13.433333333333332,149666.66666666663,0.16666666666666666,0.16666666666666666,-0.6153846153846155,2.8199999999999994,0.06666666666666668,0.03333333333333335,3.333333333333333,3.6666666666666665,1.2,1.95,7.366666666666667,-62000000000.0,244807.6923076923,82946.15384615384,8653.846153846154,-0.033333333333333326,50.33333333333334,51.33333333333334,0.0,2.833333333333333,15156666.666666664,-1.8769230769230767,-5.7333333333333325,137333.33333333337,53.73333333333333,632461.5384615385,346384.6153846154,57846153846.15385,0.06666666666666668,34.5,142666.66666666663,14.0,7.566666666666666,0.10000000000000002,1395.7692307692307,12403333333.333334,-40696666666.666664,46.76666666666667,-44366666666.666664,-0.06666666666666668,-0.5333333333333333,0.09999999999999998,0.13333333333333333,0.13333333333333333,-0.1666666666666667,3.1533333333333333,77.96666666666667,-0.033333333333333326,80.61666666666666,3.083333333333333,-22866666666.666668,46.0,964333.3333333336,0.13333333333333333,934333.3333333336,-0.2666666666666666,2.8666666666666667,5023333.333333333,10.766666666666667,75.23333333333333,0.9,0.0,449000.0,0.25,0.20000000000000004,0.3999999999999999,0.3,2.2333333333333334,1.2333333333333334,53.1,1.938,0.03333333333333333,0.2333333333333333,0.1,0.6,-1.9,-106100000000.0,0.05115384615384616,1.1333333333333335
2013Q3,79560000000.0,254080000000.0,218560000000.0,215060000000.0,246460000000.0,208300000000.0,1168300000000.0,65530000000.0,226860000000.0,43940000000.0,37560000000.0,74720000000.0,1123720000000.0,64490000000.0,30000000000.0,0.7543333333333333,3.7106666666666666,1.49,2.1016666666666666,7673333.333333332,7963333.333333332,-2.8666666666666667,112.46,42533.333333333336,-0.04666666666666667,0.20000000000000004,2952.230769230769,1.7,234.25,1.3,1.7666666666666666,233.8766666666667,7.400000000000001,1.5333333333333332,11.466666666666667,-1.0,590000.0,2.333333333333333,-0.09999999999999998,0.2,1466666666.6666667,-703538.4615384615,-0.8999999999999999,9000.0,7.933333333333334,-1.0333333333333334,54.36666666666667,60.06666666666666,57.6,54.4,57.4,55.83333333333334,334286.66666666674,3815000.0,5.333333333333333,12.0,0.2,5666.666666666668,4.656666666666667,191.75,2.9,71.3,96.9,203.7333333333333,466.08,2045.993333333333,0.9333333333333336,585.8,93.86666666666667,31366666666.666668,104.66666666666669,47.33333333333334,23.76666666666667,7.166666666666668,12.533333333333333,21.233333333333334,171666.66666666663,-0.16666666666666666,0.20000000000000004,0.2923076923076923,3.5846153846153848,0.26666666666666666,0.3333333333333333,2.0,7.666666666666668,1.0,2.1333333333333333,14.966666666666667,-11750000000.0,336046.15384615393,49269.23076923077,10853.846153846154,0.16666666666666666,54.0,51.83333333333334,0.4000000000000001,-1.1,15906666.666666664,-2.3307692307692305,21.2,188000.0,55.6,-2759923.076923077,327307.6923076923,65615384615.38461,0.16666666666666666,34.46666666666667,175333.33333333337,13.699999999999998,7.433333333333334,-0.2,1383.0,14613333333.333334,-39466666666.666664,46.06666666666666,-43000000000.0,0.2,0.0,0.26666666666666666,0.16666666666666666,0.16666666666666666,0.26666666666666666,7.996666666666667,77.73333333333333,0.2333333333333333,80.9,3.1666666666666665,-21000000000.0,58.0,924000.0,0.10000000000000002,874333.3333333335,0.3666666666666667,17.133333333333336,5316666.666666667,12.233333333333333,80.5,0.7999999999999999,1.0,437333.33333333326,0.25,-0.2333333333333333,-1.0,0.5,2.2333333333333334,0.7000000000000001,53.66666666666666,2.7453333333333334,0.16666666666666666,0.26666666666666666,0.3,1.6,0.7,-98900000000.0,0.03392857142857143,2.0
2013Q4,78720000000.0,261760000000.0,218210000000.0,216980000000.0,244140000000.0,210990000000.0,1156880000000.0,60800000000.0,224700000000.0,20940000000.0,38720000000.0,76390000000.0,1108600000000.0,18870000000.0,15310000000.0,0.6616666666666667,3.822666666666666,1.413333333333333,2.1203333333333334,7790000.0,7936666.666666668,2.1500000000000004,114.54666666666668,40965.0,0.18666666666666668,0.15000000000000002,2860.0,1.7,233.92666666666665,1.4,1.1333333333333335,232.0733333333333,2.8666666666666667,1.4,10.733333333333334,1.1333333333333335,-1022428.5714285716,-2.7,-0.16666666666666666,-0.4,18900000000.0,279769.23076923075,0.6000000000000001,7333.333333333332,7.675,19.95,53.96666666666667,56.46666666666666,58.26666666666667,54.5,56.93333333333334,55.53333333333333,341153.33333333326,3840000.0,3.333333333333333,6.666666666666668,0.4666666666666666,21333.33333333333,4.398888888888888,187.16666666666663,2.8666666666666667,63.6,91.43333333333334,201.26666666666665,560.9566666666666,2759.833333333333,4.625,600.4333333333334,92.66666666666669,28400000000.0,101.56666666666666,43.5,20.733333333333327,5.45,11.3,21.233333333333334,178000.0,0.275,0.275,-0.9357142857142856,3.505333333333333,0.26666666666666666,0.4,4.666666666666667,6.0,0.9666666666666668,0.6000000000000001,8.666666666666666,25925000000.0,317723.07692307694,55661.53846153847,12630.769230769229,0.3666666666666667,56.63333333333333,54.83333333333334,0.2333333333333333,-2.0,15640000.0,-2.1538461538461537,-1.9,170333.33333333337,54.56666666666666,716461.5384615384,340538.4615384616,-24230769230.76923,0.13333333333333333,34.46666666666667,185000.0,13.733333333333333,7.166666666666668,0.7666666666666666,1381.8461538461538,15186666666.666666,-40406666666.666664,40.96666666666667,-50566666666.666664,0.3333333333333333,-0.3666666666666665,0.3333333333333333,0.5333333333333333,0.13333333333333333,0.03333333333333333,0.09666666666666668,78.46666666666665,0.5333333333333333,76.75,2.983333333333333,17333333333.333332,55.66666666666666,1003666.6666666664,0.13333333333333333,1091000.0,-0.13333333333333333,11.1,5103333.333333333,13.233333333333334,73.23333333333333,0.3666666666666667,9.0,420666.66666666674,0.25,0.3333333333333333,1.7333333333333334,0.4,3.5,1.9666666666666668,62.66666666666666,2.7436666666666665,0.10000000000000002,0.20000000000000004,0.3333333333333333,2.45,-1.0,-94800000000.0,0.0673076923076923,0.4333333333333333
2014Q1,89960000000.0,253410000000.0,237970000000.0,216220000000.0,254160000000.0,196410000000.0,1297060000000.0,55170000000.0,232220000000.0,43620000000.0,40470000000.0,73480000000.0,1063250000000.0,49680000000.0,26900000000.0,0.7719999999999999,3.739666666666667,1.6056666666666668,2.184333333333333,7456666.666666668,8383333.333333332,-0.2333333333333334,116.39,39166.66666666666,-0.03,0.2333333333333333,2931.615384615385,1.6333333333333335,236.29333333333332,1.2333333333333334,1.4,234.99666666666667,3.0,1.4,17.133333333333333,0.6,-131076.92307692303,-1.5,0.6666666666666666,0.3333333333333333,4620000000.0,-205692.3076923077,-0.30000000000000004,-666.6666666666666,7.566666666666667,-8.666666666666666,53.83333333333334,55.1,55.5,53.23333333333333,50.53333333333333,55.3,335769.23076923075,3986666.666666666,6.333333333333332,7.0,0.3666666666666667,15000.0,4.539166666666667,173.59666666666664,2.9,70.10000000000001,95.53333333333336,209.2,378.3999999999999,1558.0733333333335,-0.2333333333333334,621.3666666666667,93.13333333333333,-17733333333.333332,96.4,36.66666666666666,22.9,5.5,5.8,17.3,130333.33333333331,-0.13333333333333333,0.2333333333333333,-0.6833333333333332,3.0,0.3,0.3666666666666667,0.6666666666666666,2.333333333333333,0.8333333333333334,-0.10000000000000002,12.9,-31366666666.666668,376015.3846153846,80492.30769230769,18838.46153846154,0.4000000000000001,53.83333333333334,58.0,-0.1333333333333333,-3.1333333333333333,15326666.666666664,0.6166666666666667,-6.2333333333333325,184000.0,52.86666666666667,1145923.076923077,330153.84615384607,-167230769230.76926,0.2333333333333333,34.333333333333336,120666.66666666669,12.633333333333333,6.666666666666668,0.4666666666666666,1428.8461538461538,14926666666.666666,-37350000000.0,45.06666666666666,-50233333333.333336,0.3333333333333333,0.3333333333333333,0.033333333333333326,0.43333333333333335,0.10000000000000002,0.16666666666666666,7.533333333333334,78.83333333333333,0.2,80.71666666666665,3.166666666666666,-22633333333.333332,49.66666666666666,980333.3333333336,0.1,928666.6666666664,0.1666666666666667,4.033333333333334,4696666.666666667,13.433333333333332,80.36666666666667,0.4666666666666666,-0.3333333333333333,440666.66666666674,0.25,-0.1,-1.0333333333333332,0.5,2.733333333333333,1.5,58.43333333333334,2.8443333333333336,0.10000000000000002,0.2,0.3666666666666667,2.5,-0.8500000000000001,-81100000000.0,0.0503846153846154,1.1
