,MS,JPM,C,WFC,BAC,PG,WMT,MO,KR,KHC,KMI,HAL,XOM,OXY,MRO
2021Q3,147530000000.0,310470000000.0,194060000000.0,197590000000.0,240080000000.0,203380000000.0,1410480000000.0,67860000000.0,316820000000.0,63240000000.0,38240000000.0,38600000000.0,737860000000.0,67920000000.0,14380000000.0
2021Q2,147590000000.0,318320000000.0,197380000000.0,211630000000.0,226200000000.0,189460000000.0,1383100000000.0,69360000000.0,412980000000.0,66150000000.0,31500000000.0,37070000000.0,677420000000.0,59580000000.0,12540000000.0
2021Q1,157190000000.0,336480000000.0,216950000000.0,193010000000.0,240190000000.0,181090000000.0,1520790000000.0,60360000000.0,307370000000.0,63940000000.0,52110000000.0,34510000000.0,591470000000.0,52930000000.0,11770000000.0
2020Q4,130380000000.0,302190000000.0,190630000000.0,182160000000.0,213070000000.0,197450000000.0,1347080000000.0,63040000000.0,297230000000.0,69390000000.0,31150000000.0,32370000000.0,465400000000.0,41600000000.0,8220000000.0
2020Q3,117210000000.0,309420000000.0,201230000000.0,207480000000.0,216930000000.0,193180000000.0,1377420000000.0,71230000000.0,304890000000.0,64410000000.0,29190000000.0,29750000000.0,461990000000.0,41080000000.0,7610000000.0
2020Q2,136600000000.0,353340000000.0,232750000000.0,202070000000.0,240180000000.0,176980000000.0,1346220000000.0,63670000000.0,415490000000.0,66480000000.0,25600000000.0,31960000000.0,326050000000.0,29280000000.0,4900000000.0
2020Q1,97790000000.0,330080000000.0,263780000000.0,211320000000.0,267350000000.0,172140000000.0,1416710000000.0,63590000000.0,288930000000.0,61570000000.0,31060000000.0,50370000000.0,561580000000.0,66130000000.0,10240000000.0
2019Q4,108570000000.0,339990000000.0,249260000000.0,242550000000.0,271350000000.0,182400000000.0,1279910000000.0,60070000000.0,279740000000.0,65360000000.0,33520000000.0,51910000000.0,671730000000.0,66280000000.0,12330000000.0
2019Q3,100320000000.0,361840000000.0,261100000000.0,268840000000.0,285360000000.0,177980000000.0,1303770000000.0,68560000000.0,281680000000.0,60760000000.0,32140000000.0,55500000000.0,650490000000.0,58590000000.0,12490000000.0
2019Q2,102440000000.0,359520000000.0,265200000000.0,264750000000.0,291190000000.0,170940000000.0,1239250000000.0,66190000000.0,372510000000.0,64060000000.0,32140000000.0,59300000000.0,690910000000.0,44200000000.0,13810000000.0
2019Q1,102860000000.0,360590000000.0,258930000000.0,263010000000.0,287990000000.0,164620000000.0,1387930000000.0,56280000000.0,282850000000.0,59590000000.0,34290000000.0,57370000000.0,636250000000.0,40040000000.0,12000000000.0
2018Q4,85480000000.0,319090000000.0,239770000000.0,252570000000.0,280090000000.0,174380000000.0,1248940000000.0,61140000000.0,278310000000.0,68910000000.0,37810000000.0,59360000000.0,718950000000.0,47620000000.0,13800000000.0
2018Q3,98720000000.0,327910000000.0,247570000000.0,257330000000.0,276280000000.0,166900000000.0,1280280000000.0,68370000000.0,280140000000.0,63830000000.0,35170000000.0,61720000000.0,766050000000.0,52160000000.0,15380000000.0
2018Q2,106100000000.0,328340000000.0,243540000000.0,250270000000.0,270900000000.0,165030000000.0,1226900000000.0,63050000000.0,377220000000.0,66900000000.0,34280000000.0,61470000000.0,735010000000.0,40830000000.0,14470000000.0
2018Q1,110770000000.0,322900000000.0,240320000000.0,250430000000.0,269000000000.0,162810000000.0,1362670000000.0,61080000000.0,316490000000.0,63040000000.0,34180000000.0,57400000000.0,682110000000.0,37630000000.0,15370000000.0
2017Q4,95000000000.0,280220000000.0,220410000000.0,246950000000.0,232420000000.0,173950000000.0,1231790000000.0,61010000000.0,277490000000.0,68350000000.0,36320000000.0,59400000000.0,665150000000.0,34920000000.0,13810000000.0
2017Q3,91970000000.0,294670000000.0,227980000000.0,244440000000.0,253350000000.0,166530000000.0,1233550000000.0,67290000000.0,275970000000.0,62800000000.0,32810000000.0,54440000000.0,611000000000.0,29990000000.0,11840000000.0
2017Q2,95030000000.0,291730000000.0,221910000000.0,244580000000.0,259890000000.0,160790000000.0,1175420000000.0,66630000000.0,362850000000.0,66370000000.0,33680000000.0,49570000000.0,580770000000.0,30600000000.0,9370000000.0
2017Q1,97450000000.0,279170000000.0,219320000000.0,241440000000.0,249000000000.0,156050000000.0,1309360000000.0,60830000000.0,276110000000.0,63240000000.0,34240000000.0,42790000000.0,586710000000.0,29570000000.0,9070000000.0
2016Q4,90210000000.0,269900000000.0,212120000000.0,232380000000.0,225630000000.0,168560000000.0,1181790000000.0,62520000000.0,265570000000.0,66700000000.0,33890000000.0,40210000000.0,430360000000.0,27880000000.0,10020000000.0
2016Q3,89090000000.0,271400000000.0,209340000000.0,238630000000.0,240440000000.0,165180000000.0,1208540000000.0,69050000000.0,265650000000.0,62670000000.0,33300000000.0,38330000000.0,586770000000.0,26480000000.0,8610000000.0
2016Q2,89090000000.0,268460000000.0,206680000000.0,235750000000.0,237420000000.0,161020000000.0,1159040000000.0,65210000000.0,346040000000.0,67930000000.0,31440000000.0,38350000000.0,576940000000.0,25310000000.0,7610000000.0
2016Q1,77920000000.0,254110000000.0,204950000000.0,235000000000.0,233130000000.0,157550000000.0,1296670000000.0,60660000000.0,261650000000.0,65700000000.0,31950000000.0,41980000000.0,487070000000.0,21230000000.0,6120000000.0
